"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
209, 2.529797205317986e-16, -2.801396125032543e-09, 1.687714139402839e+05, 1.485813285138961e+00, 8.842459347428612e-02
210, 7.803043131382305e-04, -4.916520995190340e-03, 1.647835622702288e+05, 1.397962758411512e+00, 1.160659377221863e-01
211, 2.927079413129301e-03, -9.415000344406257e-03, 1.562317743014782e+05, 1.209570827197628e+00, 2.292886735187553e-01
212, 6.005844514896796e-03, -1.334354800703546e-02, 1.464647367748228e+05, 9.944075106363618e-01, 3.365827842802350e-01
213, 9.654522751038104e-03, -1.675453417271001e-02, 1.366140751027647e+05, 7.774019928528412e-01, 4.275632236303816e-01
214, 1.365627794765665e-02, -1.974620782410616e-02, 1.282863175388317e+05, 5.939453477765954e-01, 4.988276145388001e-01
215, 1.788670551301733e-02, -2.240617684975221e-02, 1.221106338389176e+05, 4.578978939523974e-01, 5.540295101847704e-01
216, 2.227365759564918e-02, -2.480004283943257e-02, 1.172045970383390e+05, 3.498201737323976e-01, 5.987928873817886e-01
217, 2.677272870538024e-02, -2.697639527707973e-02, 1.130192338972752e+05, 2.576185607062501e-01, 6.381152207583366e-01
218, 3.135519454993048e-02, -2.897150209823460e-02, 1.094338193952013e+05, 1.786335385429058e-01, 6.706076404525768e-01
219, 3.600152637330558e-02, -3.081318812829027e-02, 1.067527810021310e+05, 1.195715035188010e-01, 6.960667840576168e-01
220, 4.069820018808088e-02, -3.252256563435194e-02, 1.042483590284627e+05, 6.440024647665463e-02, 7.189645797229555e-01
221, 4.543527623636497e-02, -3.411666840764228e-02, 1.025189959781371e+05, 2.630317882118027e-02, 7.375701180099832e-01
222, 5.020553352344495e-02, -3.560863456940031e-02, 1.007738774689320e+05, -1.214097430183995e-02, 7.556917786233798e-01
223, 5.500326006556067e-02, -3.700980903144933e-02, 9.865222708291523e+04, -5.887995041337929e-02, 7.761804113309996e-01
224, 5.982421622172634e-02, -3.832889242225972e-02, 9.714365193614202e+04, -9.211316273346856e-02, 7.917991771337203e-01
225, 6.466483906275369e-02, -3.957391314022586e-02, 9.595937631137569e+04, -1.182022066684359e-01, 8.058930915165524e-01
